Executing 12 at PC 207
AF:C010	BC:110	DE:C024	HL:4025	SP:FFFE
Executing 1c at PC 208
AF:C010	BC:110	DE:C025	HL:4025	SP:FFFE
Executing 20 at PC 209
AF:C010	BC:110	DE:C025	HL:4025	SP:FFFE
Executing 2a at PC 206
AF:3E10	BC:110	DE:C025	HL:4026	SP:FFFE
Executing 12 at PC 207
AF:3E10	BC:110	DE:C025	HL:4026	SP:FFFE
Executing 1c at PC 208
AF:3E10	BC:110	DE:C026	HL:4026	SP:FFFE
Executing 20 at PC 209
AF:3E10	BC:110	DE:C026	HL:4026	SP:FFFE
Executing 2a at PC 206
AF:D410	BC:110	DE:C026	HL:4027	SP:FFFE
Executing 12 at PC 207
AF:D410	BC:110	DE:C026	HL:4027	SP:FFFE
Executing 1c at PC 208
AF:D410	BC:110	DE:C027	HL:4027	SP:FFFE
Executing 20 at PC 209
AF:D410	BC:110	DE:C027	HL:4027	SP:FFFE
Executing 2a at PC 206
AF:CD10	BC:110	DE:C027	HL:4028	SP:FFFE
Executing 12 at PC 207
AF:CD10	BC:110	DE:C027	HL:4028	SP:FFFE
Executing 1c at PC 208
AF:CD10	BC:110	DE:C028	HL:4028	SP:FFFE
Executing 20 at PC 209
AF:CD10	BC:110	DE:C028	HL:4028	SP:FFFE
Executing 2a at PC 206
AF:310	BC:110	DE:C028	HL:4029	SP:FFFE
Executing 12 at PC 207
AF:310	BC:110	DE:C028	HL:4029	SP:FFFE
Executing 1c at PC 208
AF:310	BC:110	DE:C029	HL:4029	SP:FFFE
Executing 20 at PC 209
AF:310	BC:110	DE:C029	HL:4029	SP:FFFE
Executing 2a at PC 206
AF:C010	BC:110	DE:C029	HL:402A	SP:FFFE
Executing 12 at PC 207
AF:C010	BC:110	DE:C029	HL:402A	SP:FFFE
Executing 1c at PC 208
AF:C010	BC:110	DE:C02A	HL:402A	SP:FFFE
Executing 20 at PC 209
AF:C010	BC:110	DE:C02A	HL:402A	SP:FFFE
Executing 2a at PC 206
AF:F110	BC:110	DE:C02A	HL:402B	SP:FFFE
Executing 12 at PC 207
AF:F110	BC:110	DE:C02A	HL:402B	SP:FFFE
Executing 1c at PC 208
AF:F110	BC:110	DE:C02B	HL:402B	SP:FFFE
Executing 20 at PC 209
AF:F110	BC:110	DE:C02B	HL:402B	SP:FFFE
Executing 2a at PC 206
AF:3D10	BC:110	DE:C02B	HL:402C	SP:FFFE
Executing 12 at PC 207
AF:3D10	BC:110	DE:C02B	HL:402C	SP:FFFE
Executing 1c at PC 208
AF:3D10	BC:110	DE:C02C	HL:402C	SP:FFFE
Executing 20 at PC 209
AF:3D10	BC:110	DE:C02C	HL:402C	SP:FFFE
Executing 2a at PC 206
AF:2010	BC:110	DE:C02C	HL:402D	SP:FFFE
Executing 12 at PC 207
AF:2010	BC:110	DE:C02C	HL:402D	SP:FFFE
Executing 1c at PC 208
AF:2010	BC:110	DE:C02D	HL:402D	SP:FFFE
Executing 20 at PC 209
AF:2010	BC:110	DE:C02D	HL:402D	SP:FFFE
Executing 2a at PC 206
AF:F110	BC:110	DE:C02D	HL:402E	SP:FFFE
Executing 12 at PC 207
AF:F110	BC:110	DE:C02D	HL:402E	SP:FFFE
Executing 1c at PC 208
AF:F110	BC:110	DE:C02E	HL:402E	SP:FFFE
Executing 20 at PC 209
AF:F110	BC:110	DE:C02E	HL:402E	SP:FFFE
Executing 2a at PC 206
AF:C910	BC:110	DE:C02E	HL:402F	SP:FFFE
Executing 12 at PC 207
AF:C910	BC:110	DE:C02E	HL:402F	SP:FFFE
Executing 1c at PC 208
AF:C910	BC:110	DE:C02F	HL:402F	SP:FFFE
Executing 20 at PC 209
AF:C910	BC:110	DE:C02F	HL:402F	SP:FFFE
Executing 2a at PC 206
AF:F510	BC:110	DE:C02F	HL:4030	SP:FFFE
Executing 12 at PC 207
AF:F510	BC:110	DE:C02F	HL:4030	SP:FFFE
Executing 1c at PC 208
AF:F530	BC:110	DE:C030	HL:4030	SP:FFFE
Executing 20 at PC 209
AF:F530	BC:110	DE:C030	HL:4030	SP:FFFE
Executing 2a at PC 206
AF:7C30	BC:110	DE:C030	HL:4031	SP:FFFE
Executing 12 at PC 207
AF:7C30	BC:110	DE:C030	HL:4031	SP:FFFE
Executing 1c at PC 208
AF:7C10	BC:110	DE:C031	HL:4031	SP:FFFE
Executing 20 at PC 209
AF:7C10	BC:110	DE:C031	HL:4031	SP:FFFE
Executing 2a at PC 206
AF:CD10	BC:110	DE:C031	HL:4032	SP:FFFE
Executing 12 at PC 207
AF:CD10	BC:110	DE:C031	HL:4032	SP:FFFE
Executing 1c at PC 208
AF:CD10	BC:110	DE:C032	HL:4032	SP:FFFE
Executing 20 at PC 209
AF:CD10	BC:110	DE:C032	HL:4032	SP:FFFE
Executing 2a at PC 206
AF:1010	BC:110	DE:C032	HL:4033	SP:FFFE
Executing 12 at PC 207
AF:1010	BC:110	DE:C032	HL:4033	SP:FFFE
Executing 1c at PC 208
AF:1010	BC:110	DE:C033	HL:4033	SP:FFFE
Executing 20 at PC 209
AF:1010	BC:110	DE:C033	HL:4033	SP:FFFE
Executing 2a at PC 206
AF:C010	BC:110	DE:C033	HL:4034	SP:FFFE
Executing 12 at PC 207
AF:C010	BC:110	DE:C033	HL:4034	SP:FFFE
Executing 1c at PC 208
AF:C010	BC:110	DE:C034	HL:4034	SP:FFFE
Executing 20 at PC 209
AF:C010	BC:110	DE:C034	HL:4034	SP:FFFE
Executing 2a at PC 206
AF:7D10	BC:110	DE:C034	HL:4035	SP:FFFE
Executing 12 at PC 207
AF:7D10	BC:110	DE:C034	HL:4035	SP:FFFE
Executing 1c at PC 208
AF:7D10	BC:110	DE:C035	HL:4035	SP:FFFE
Executing 20 at PC 209
AF:7D10	BC:110	DE:C035	HL:4035	SP:FFFE
Executing 2a at PC 206
AF:CD10	BC:110	DE:C035	HL:4036	SP:FFFE
Executing 12 at PC 207
AF:CD10	BC:110	DE:C035	HL:4036	SP:FFFE
Executing 1c at PC 208
AF:CD10	BC:110	DE:C036	HL:4036	SP:FFFE
Executing 20 at PC 209
AF:CD10	BC:110	DE:C036	HL:4036	SP:FFFE
Executing 2a at PC 206
AF:310	BC:110	DE:C036	HL:4037	SP:FFFE
Executing 12 at PC 207
AF:310	BC:110	DE:C036	HL:4037	SP:FFFE
Executing 1c at PC 208
AF:310	BC:110	DE:C037	HL:4037	SP:FFFE
Executing 20 at PC 209
AF:310	BC:110	DE:C037	HL:4037	SP:FFFE
Executing 2a at PC 206
AF:C010	BC:110	DE:C037	HL:4038	SP:FFFE
Executing 12 at PC 207
AF:C010	BC:110	DE:C037	HL:4038	SP:FFFE
Executing 1c at PC 208
AF:C010	BC:110	DE:C038	HL:4038	SP:FFFE
Executing 20 at PC 209
AF:C010	BC:110	DE:C038	HL:4038	SP:FFFE
Executing 2a at PC 206
AF:F110	BC:110	DE:C038	HL:4039	SP:FFFE
Executing 12 at PC 207
AF:F110	BC:110	DE:C038	HL:4039	SP:FFFE
Executing 1c at PC 208
AF:F110	BC:110	DE:C039	HL:4039	SP:FFFE
Executing 20 at PC 209
AF:F110	BC:110	DE:C039	HL:4039	SP:FFFE
Executing 2a at PC 206
AF:C910	BC:110	DE:C039	HL:403A	SP:FFFE
Executing 12 at PC 207
